Location,Household Type,TimeFrame,DataFormat,Data,Fips,Median_Income
Riverdale,All Households,"2005",Dollars,"63435.46009","208","63435"
Williamsbridge,All Households,"2005",Dollars,"52141.77239","212","52142"
Throgs Neck,All Households,"2005",Dollars,"57712.50261","210","57713"
Pelham Parkway,All Households,"2005",Dollars,"52782.17672","211","52782"
Morrisania,All Households,"2005",Dollars,"24589.9512","203","24590"
East Tremont,All Households,"2005",Dollars,"24589.9512","206","24590"
Bedford Park,All Households,"2005",Dollars,"38340.27187","207","38340"
University Heights,All Households,"2005",Dollars,"25435.07494","205","25435"
Concourse/Highbridge,All Households,"2005",Dollars,"27243.42977","204","27243"
Unionport/Soundview,All Households,"2005",Dollars,"44489.72813","209","44490"
Mott Haven,All Households,"2005",Dollars,"18237.08784","201","18237"
Hunts Point,All Households,"2005",Dollars,"18237.08784","202","18237"
Washington Heights,All Households,"2005",Dollars,"41693.20843","112","41693"
Manhattanville,All Households,"2005",Dollars,"36697.26734","109","36697"
Central Harlem,All Households,"2005",Dollars,"35109.37957","110","35109"
East Harlem,All Households,"2005",Dollars,"35344.28198","111","35344"
Upper East Side,All Households,"2005",Dollars,"108675.8261","108","108676"
Upper West Side,All Households,"2005",Dollars,"110371.3228","107","110371"
Chelsea/Clinton,All Households,"2005",Dollars,"92627.66121","104","92628"
Midtown Business District,All Households,"2005",Dollars,"92627.66121","105","92628"
Murray Hill/Stuyvesant,All Households,"2005",Dollars,"113032.6752","106","113033"
Lower East Side,All Households,"2005",Dollars,"42064.59045","103","42065"
Battery Park/Tribeca,All Households,"2005",Dollars,"121990.4618","101","121990"
Greenwich Village,All Households,"2005",Dollars,"121990.4618","102","121990"
Tottenville,All Households,"2005",Dollars,"105416.0631","503","105416"
South Beach,All Households,"2005",Dollars,"78082.08435","502","78082"
St. George,All Households,"2005",Dollars,"67927.47647","501","67927"
Williamsburg/Greenpoint,All Households,"2005",Dollars,"39966.21645","301","39966"
Bushwick,All Households,"2005",Dollars,"33484.7473","304","33485"
Bedford Stuyvesant,All Households,"2005",Dollars,"40424.21053","303","40424"
Fort Greene/Brooklyn Hts,All Households,"2005",Dollars,"67081.04043","302","67081"
Park Slope,All Households,"2005",Dollars,"92972.79714","306","92973"
Crown Heights North,All Households,"2005",Dollars,"39833.67375","308","39834"
Brownsville,All Households,"2005",Dollars,"29125.27361","316","29125"
East New York,All Households,"2005",Dollars,"40518.69641","305","40519"
Canarsie,All Households,"2005",Dollars,"68888.08296","318","68888"
East Flatbush,All Households,"2005",Dollars,"54855.61694","317","54856"
Crown Heights South,All Households,"2005",Dollars,"48787.52353","309","48788"
Sunset Park,All Households,"2005",Dollars,"49662.83025","307","49663"
Bay Ridge,All Households,"2005",Dollars,"63781.90833","310","63782"
Borough Park,All Households,"2005",Dollars,"42869.03276","312","42869"
Flatbush/Midwood,All Households,"2005",Dollars,"48984.36912","314","48984"
Sheepshead Bay,All Households,"2005",Dollars,"53997.37016","315","53997"
Bensonhurst,All Households,"2005",Dollars,"52637.82328","311","52638"
Coney Island,All Households,"2005",Dollars,"33209.16347","313","33209"
Astoria,All Households,"2005",Dollars,"49448.92471","401","49449"
Jackson Heights,All Households,"2005",Dollars,"53999.99477","403","54000"
Flushing,All Households,"2005",Dollars,"64493.17707","407","64493"
Bayside,All Households,"2005",Dollars,"86853.52388","411","86854"
Queens Village,All Households,"2005",Dollars,"88630.38341","413","88630"
Fresh Meadows/Briarwood,All Households,"2005",Dollars,"62943.34611","408","62943"
Elmhurst/Corona,All Households,"2005",Dollars,"53906.82119","404","53907"
Rego Park/Forest Hills,All Households,"2005",Dollars,"68637.4329","406","68637"
Sunnyside/Woodside,All Households,"2005",Dollars,"54001.30708","402","54001"
Ridgewood/Glendale,All Households,"2005",Dollars,"63047.01812","405","63047"
Woodhaven,All Households,"2005",Dollars,"60747.86162","409","60748"
Jamaica/St. Albans,All Households,"2005",Dollars,"60901.40119","412","60901"
Howard Beach,All Households,"2005",Dollars,"67874.98432","410","67875"
The Rockaways,All Households,"2005",Dollars,"59190.15685","414","59190"
Bronx,All Households,"2005",Dollars,"38356.01952","36005","38356"
