Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Annual Average 2019,Citywide,New York City, New York City,1,Nitrogen Dioxide (NO2),10.6,20.2,15.6,,,
Annual Average 2019,Borough,Bronx, Bronx,1,Nitrogen Dioxide (NO2),12.9,19.2,16,,,
Annual Average 2019,Borough,Brooklyn, Brooklyn,2,Nitrogen Dioxide (NO2),12.7,20.6,16.5,,,
Annual Average 2019,Borough,Manhattan, Manhattan,3,Nitrogen Dioxide (NO2),17.7,26.6,21.7,,,
Annual Average 2019,Borough,Queens, Queens,4,Nitrogen Dioxide (NO2),12.4,19,15.7,,,
Annual Average 2019,Borough,Staten Island, Staten Island,5,Nitrogen Dioxide (NO2),9,15.6,11.9,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Nitrogen Dioxide (NO2),12.6,16.1,14.7,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Nitrogen Dioxide (NO2),16.7,19.1,17.7,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Nitrogen Dioxide (NO2),13.2,17.7,15.7,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Nitrogen Dioxide (NO2),15.3,18.1,16.7,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Nitrogen Dioxide (NO2),9,16.4,13.1,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Nitrogen Dioxide (NO2),18.5,20.7,19.7,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Nitrogen Dioxide (NO2),22.2,29.3,25.2,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Nitrogen Dioxide (NO2),11.4,15.2,13.5,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Nitrogen Dioxide (NO2),18.3,21.4,20,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Nitrogen Dioxide (NO2),14.9,17.7,16.3,,,
Annual Average 2019,Neighborhood (UHF 34),Manhattan, East Harlem,303,Nitrogen Dioxide (NO2),17.9,20.4,19.4,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, East New York,204,Nitrogen Dioxide (NO2),13.7,17.2,15.8,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Nitrogen Dioxide (NO2),14.3,18.9,16.3,,,
Annual Average 2019,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Nitrogen Dioxide (NO2),11.8,17.6,15.2,,,
Annual Average 2019,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Nitrogen Dioxide (NO2),19.6,23.2,21.4,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Jamaica,408,Nitrogen Dioxide (NO2),14.1,17.5,15.5,,,
Annual Average 2019,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Nitrogen Dioxide (NO2),11.2,16.7,13.5,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Nitrogen Dioxide (NO2),18,23.4,20.2,,,
Annual Average 2019,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Nitrogen Dioxide (NO2),13.7,15.5,14.7,,,
Annual Average 2019,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Nitrogen Dioxide (NO2),10.9,16.5,14.2,,,
Annual Average 2019,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Nitrogen Dioxide (NO2),13.1,17.5,15.5,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Nitrogen Dioxide (NO2),13.6,18.6,16.2,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Rockaways,410,Nitrogen Dioxide (NO2),8.1,11.8,10,,,
Annual Average 2019,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Nitrogen Dioxide (NO2),16.2,20.3,18.4,,,
Annual Average 2019,Neighborhood (UHF 34),Queens, Southeast Queens,409,Nitrogen Dioxide (NO2),13.3,15.7,14.5,,,
