Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (ppb),90th Percentile (ppb),Mean (ppb),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2015-16,Citywide,New York City, New York City,1,Sulfur Dioxide (SO2),0.1,0.3,0.2,,,
Winter 2015-16,Borough,Bronx, Bronx,1,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2015-16,Borough,Brooklyn, Brooklyn,2,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Borough,Manhattan, Manhattan,3,Sulfur Dioxide (SO2),0.2,0.5,0.4,,,
Winter 2015-16,Borough,Queens, Queens,4,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Borough,Staten Island, Staten Island,5,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Sulfur Dioxide (SO2),0.3,0.4,0.4,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East Flatbush - Flatbush,207,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, East Harlem,303,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, East New York,204,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Flushing - Clearview,403,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Bronx, Fordham - Bronx Pk,103,Sulfur Dioxide (SO2),0.3,0.6,0.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Greenpoint,201,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Jamaica,408,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Bronx, Kingsbridge - Riverdale,101,Sulfur Dioxide (SO2),0.2,0.4,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Long Island City - Astoria,401,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Bronx, Northeast Bronx,102,Sulfur Dioxide (SO2),0.3,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Staten Island, Northern SI,501502,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (UHF 34),Bronx, Pelham - Throgs Neck,104,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Rockaways,410,Sulfur Dioxide (SO2),0.2,0.2,0.2,,,
Winter 2015-16,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Sulfur Dioxide (SO2),0.2,0.5,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Southeast Queens,409,Sulfur Dioxide (SO2),0.2,0.3,0.3,,,
Winter 2015-16,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Sulfur Dioxide (SO2),0.1,0.1,0.1,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Southwest Queens,407,Sulfur Dioxide (SO2),0.2,0.3,0.2,,,
