Community_District,Geography ID,Percent_in_poverty
Bronx 1,201,32.3
Bronx 2,202,32.3
Bronx 3,203,31.4
Bronx 4,204,34.7
Bronx 5,205,37.1
Bronx 6,206,31.4
Bronx 7,207,30.8
Bronx 8,208,18.6
Bronx 9,209,29.6
Bronx 10,210,14.3
Bronx 11,211,20
Bronx 12,212,22
Brooklyn 1,301,15.4
Brooklyn 2,302,12
Brooklyn 3,303,21.6
Brooklyn 4,304,24.6
Brooklyn 5,305,28.9
Brooklyn 6,306,10
Brooklyn 7,307,23.9
Brooklyn 8,308,21.1
Brooklyn 9,309,20.8
Brooklyn 10,310,17.6
Brooklyn 11,311,22.6
Brooklyn 12,312,26.1
Brooklyn 13,313,25.1
Brooklyn 14,314,20.4
Brooklyn 15,315,17.5
Brooklyn 16,316,29.6
Brooklyn 17,317,16.8
Brooklyn 18,318,13.9
Manhattan 1,101,7.9
Manhattan 2,102,7.9
Manhattan 3,103,21.5
Manhattan 4,104,11.8
Manhattan 5,105,11.8
Manhattan 6,106,9
Manhattan 7,107,9.2
Manhattan 8,108,6.3
Manhattan 9,109,20.2
Manhattan 10,110,20.6
Manhattan 11,111,23.7
Manhattan 12,112,19.5
Queens 1,401,16.7
Queens 2,402,14.8
Queens 3,403,22.1
Queens 4,404,23.2
Queens 5,405,15.6
Queens 6,406,13.8
Queens 7,407,22.9
Queens 8,408,18.9
Queens 9,409,19.6
Queens 10,410,17
Queens 11,411,12.5
Queens 12,412,17.1
Queens 13,413,10.8
Queens 14,414,16.6
Staten Island 1,501,21.7
Staten Island 2,502,12.4
Staten Island 3,503,11.9
